,,,,,
,No.,Name,Web Address,Phone Number,Description
,1,Abilities Center,http://www.abilitiescenter.com/,248-926-0909,"Enriching environment specifically designed to enhance opportunities for children to move, explore, experience, learn and develop new skills"
,2,Arbor Circle Infant Toddlers Playgroups,http://www.arborcircle.org/,616-456-6571,Open playgroups for children ages 0-5
,3,Camp-O-Rama,http://www.ccresa.org/,989-224-6831,Provides annual listing of Michigan camps available for persons with special needs.  Compiled by Michigans assistive Technology Resource {MATR}
,4,Cannonsburg Challenged Ski Association,http://www.skiccsa.org/,616-874-3060,Provides lessons and the use of adaptive downhill ski equipment to people with disabilities in West Michigan
,5,Equest Center ,http://www.equestcenter.org/,616-866-3066,Equine Facilitated Therapy; treatment approach that uses multidimensional movement of a horse to help children with special needs achieve developmental milestones
,6,First Notes,,616-696-8097,Music therapy available to children from birth through 6 years of age
,7,Fowler Center,http://www.thefowlercenter.org/,989-673-2050,Outdoor recreation and education facility providing camps and programs with particular emphasis on people with developmental and physical disabilities
,8,Franciscan Life Process Center,http://www.lifeprocesscenter.org/,616-897-7842,"Services include counseling for all ages, music therapy education, life skills education, and animal therapy for children"
,9,Hearts for the Arts,http://hearts4thearts.net,616-450-1922,"Open art studio running Monday through Friday from 9:00AM-5:00PM. All ages, backgrounds, abilities and experience levels welcome"
,10,Indian Trails Camp,http://www.indiantrailscamp.org/,616-677-5251,"Offers recreational camping, consisting of traditional activities, for children and adults with physical and developmental disabilities"
,11,Kent Special Riding Program,http://www.ksrp.org/,616-891-0057,"Provides high-quality therapeutic and recreational horse-back riding instruction to physically, mentally and emotionally challenged individuals in Kent and surrounding counties."
,12,Kentwood Parks and Recreation,http://www.ci.kentwood.mi.us/recreation/default.asp,616-656-5275,Offers adapted recreation programs led by certified therapeutic recreation specialists for ages 5 and older
,13,Kindermusik,http://www.kindermusik.com/,1-800-628-5687,"World’s leading publisher of music and movement curricula for parents and their children, age newborn to 7 years"
,14,Mary Free Bed Wheelchair and Adaptive Sports,http://www.maryfreebed.com/sports,1-800-528-8989,Designed to help children and adults whose various physical challenges require them to use a wheelchair to play competitive and recreational sports
,15,"National Center on Health, Physical Activity and Disability",http://www.nchpad.org/,1-800-900-8086,Provides information and resources that can enable people with disabilities to become as physically active as they choose to be
,16,Pioneer Trails,http://www.pioneertrails.net,231-773-5355,Camp provides recreation and leisure opportunities for people of all abilities to enhance the quality of life
,17,Special Olympics,http://www.specialolympics.org/,1-800-644-6404,Provides opportunities for persons with intellectual disabilities to participate and receive respect in the field of athletics
